Min Samples,Epsilon,No. of Before Clusters,No. of After Clusters,No. of Before Noise points,No. of After Noise points
70,0.000718148,1,65070,1,65271
70,0.001718148,1,65070,1,65271
70,0.002718148,34,62339,1,65271
70,0.003718148,112,40002,111,51221
70,0.004718148,62,28767,65,35228
70,0.005718148,40,23033,38,29264
70,0.006718148,31,19723,32,25328
70,0.007718148,32,17300,27,23203
70,0.008718148,19,16076,22,21480
70,0.009718148,16,14972,19,20222
70,0.010718148,17,13897,14,19042
80,0.001573133,1,65070,1,65271
80,0.002573133,2,64974,1,65271
80,0.003573133,78,54516,15,63924
80,0.004573133,79,35581,112,45083
80,0.005573133,43,28027,50,34177
80,0.006573133,30,23174,35,29110
80,0.007573133,28,20039,25,25921
80,0.008573133,27,17892,21,23787
80,0.009573133,16,16581,17,22430
80,0.010573133,18,15355,19,20793
80,0.011573133,15,14576,13,19885
90,0.002385829,1,65070,1,65271
90,0.003385829,8,64351,1,65271
90,0.004385829,91,47632,42,60070
90,0.005385829,60,33868,82,41870
90,0.006385829,35,27481,42,33702
90,0.007385829,27,23435,28,29542
90,0.008385829,23,20533,26,25982
90,0.009385829,23,18243,18,24222
90,0.010385829,17,17038,18,22954
90,0.011385829,14,16197,19,21372
100,0.003189284,1,65070,1,65271
100,0.004189284,37,60337,1,65271
100,0.005189284,73,43041,62,55362
100,0.006189284,46,32575,56,40384
100,0.007189284,32,27088,36,33391
100,0.008189284,23,23719,24,29612
100,0.009189284,21,20997,26,26460
100,0.010189284,19,18826,18,24551
100,0.011189284,20,17357,17,23321
100,0.012189284,9,16696,15,22119
110,0.003997125,2,64920,1,65271
110,0.004997125,59,54799,6,64623
110,0.005997125,57,39366,69,50850
110,0.006997125,42,31500,48,38578
110,0.007997125,27,26955,29,33358
110,0.008997125,17,24052,19,29940
110,0.009997125,21,21144,19,27161
110,0.010997125,17,19401,21,24730
110,0.011997125,16,17860,15,23826
110,0.012997125,10,16902,13,22512
120,0.004823864,10,63709,1,65271
120,0.005823864,63,49167,17,62753
120,0.006823864,44,37326,64,47246
120,0.007823864,26,30968,35,37810
