Min Samples,Epsilon,No. of Before Clusters,No. of Before Noise Points,No. of After Clusters,No. of After Noise Points
20,0.010710440515222394,55,63552,64,63303
20,0.011710440515222395,140,60299,130,60234
20,0.012710440515222396,197,55481,188,54949
20,0.013710440515222397,193,50144,182,49749
20,0.014710440515222398,152,45437,140,45405
20,0.0157104405152224,139,41269,134,41530
20,0.0167104405152224,127,37605,107,38322
20,0.0177104405152224,140,34246,95,35929
20,0.0187104405152224,102,31775,64,33804
20,0.019710440515222402,87,29571,81,31675
20,0.020710440515222403,84,27557,80,30024
30,0.014394435122186862,51,62388,74,61419
30,0.015394435122186863,103,58498,84,58012
30,0.016394435122186864,96,54321,88,53867
30,0.017394435122186865,101,49729,82,49015
30,0.018394435122186865,75,45814,78,45483
30,0.019394435122186866,72,42405,65,42414
30,0.020394435122186867,61,39420,49,39963
30,0.021394435122186868,73,36662,45,37659
30,0.02239443512218687,69,34127,39,35628
30,0.02339443512218687,58,31801,41,33786
30,0.02439443512218687,46,30034,33,32430
40,0.017484264401677985,50,61025,58,60078
40,0.018484264401677986,61,57443,56,56503
40,0.019484264401677987,55,53453,58,52542
40,0.020484264401677988,57,49310,45,49188
40,0.02148426440167799,52,46079,57,45744
40,0.02248426440167799,49,42998,46,42902
40,0.02348426440167799,26,40601,27,40658
40,0.02448426440167799,36,38157,31,38610
40,0.025484264401677992,41,35971,27,36626
40,0.026484264401677993,37,33551,20,35301
40,0.027484264401677994,36,31781,21,33719
50,0.0201899498547943,40,60288,36,58999
50,0.0211899498547943,45,56408,46,55316
50,0.022189949854794302,48,52607,35,52070
50,0.023189949854794303,36,49384,28,49472
50,0.024189949854794304,36,46475,34,46067
50,0.025189949854794304,32,43560,38,43157
50,0.026189949854794305,24,40869,21,41169
50,0.027189949854794306,25,38887,18,39413
50,0.028189949854794307,24,37074,19,37594
50,0.029189949854794308,34,34752,15,36089
50,0.03018994985479431,25,33001,8,34981
60,0.022609221278182223,29,59310,28,58204
60,0.023609221278182223,37,55897,31,54556
60,0.024609221278182224,27,52729,23,51817
